gene_id	protein_id
G4P62_003840	KAF7229942.1
G4P62_003839	KAF7229941.1
G4P62_003838	KAF7229940.1
G4P62_003837	KAF7229939.1
G4P62_003836	KAF7229938.1
G4P62_003835	KAF7229937.1
G4P62_017783	KAF7231515.1
G4P62_017782	KAF7231514.1
G4P62_017781	KAF7231513.1
G4P62_017780	KAF7231512.1
G4P62_017779	KAF7231511.1
G4P62_020096	KAF7231781.1
G4P62_004135	KAF7230359.1
G4P62_004135	KAF7230360.1
G4P62_004135	KAF7230361.1
G4P62_004136	KAF7230362.1
G4P62_004137	KAF7230363.1
G4P62_004138	KAF7230364.1
G4P62_004138	KAF7230365.1
G4P62_004138	KAF7230366.1
G4P62_004138	KAF7230367.1
G4P62_004138	KAF7230368.1
G4P62_004139	KAF7230369.1
G4P62_004140	KAF7230370.1
G4P62_020172	KAF7231784.1
G4P62_004142	KAF7230371.1
G4P62_004142	KAF7230372.1
G4P62_004142	KAF7230373.1
G4P62_004142	KAF7230374.1
G4P62_004144	KAF7230375.1
G4P62_004144	KAF7230376.1
G4P62_004145	KAF7230377.1
G4P62_004145	KAF7230378.1
G4P62_004146	KAF7230379.1
G4P62_004146	KAF7230380.1
G4P62_004147	KAF7230381.1
G4P62_004147	KAF7230382.1
G4P62_004148	KAF7230383.1
G4P62_004148	KAF7230411.1
G4P62_004148	KAF7230412.1
G4P62_004148	KAF7230384.1
G4P62_004148	KAF7230385.1
G4P62_004148	KAF7230386.1
G4P62_004148	KAF7230387.1
G4P62_004148	KAF7230388.1
G4P62_004148	KAF7230389.1
G4P62_004148	KAF7230390.1
G4P62_004148	KAF7230391.1
G4P62_004148	KAF7230413.1
G4P62_004148	KAF7230414.1
G4P62_004148	KAF7230392.1
G4P62_004148	KAF7230416.1
G4P62_004148	KAF7230417.1
G4P62_004148	KAF7230418.1
G4P62_004148	KAF7230419.1
G4P62_004148	KAF7230420.1
G4P62_004148	KAF7230393.1
G4P62_004148	KAF7230394.1
G4P62_004148	KAF7230395.1
G4P62_004148	KAF7230415.1
G4P62_004148	KAF7230396.1
G4P62_004148	KAF7230397.1
G4P62_004148	KAF7230400.1
G4P62_004148	KAF7230401.1
G4P62_004148	KAF7230421.1
G4P62_004148	KAF7230422.1
G4P62_004148	KAF7230402.1
G4P62_004148	KAF7230403.1
G4P62_004148	KAF7230404.1
G4P62_004148	KAF7230405.1
G4P62_004148	KAF7230406.1
G4P62_004148	KAF7230407.1
G4P62_004148	KAF7230408.1
G4P62_004148	KAF7230409.1
G4P62_004148	KAF7230410.1
G4P62_004148	KAF7230398.1
G4P62_004148	KAF7230399.1
G4P62_004148	KAF7230423.1
G4P62_004116	KAF7230329.1
G4P62_004117	KAF7230330.1
G4P62_004118	KAF7230331.1
G4P62_004118	KAF7230332.1
G4P62_004119	KAF7230333.1
G4P62_004119	KAF7230334.1
G4P62_004119	KAF7230337.1
G4P62_004119	KAF7230335.1
G4P62_004119	KAF7230336.1
G4P62_004119	KAF7230338.1
G4P62_004119	KAF7230339.1
G4P62_004119	KAF7230340.1
G4P62_019635	KAF7231740.1
G4P62_004120	KAF7230341.1
G4P62_004121	KAF7230342.1
G4P62_004122	KAF7230343.1
